9062.787345	0	15
9065.817469	0	14
9066.837051	0	10
9067.840322	0	9
9072.848091	0	13
9075.879419	0	14
9076.898999	0	12
9077.921340	0	11
9082.940422	0	13
9085.965213	0	14
9086.984849	0	10
9087.999599	0	9
9093.010911	0	13
9096.049284	0	14
9097.052275	0	10
9098.060642	0	9
9103.096275	0	13
9106.134869	0	14
9107.137534	0	10
9108.149891	0	9
9113.167981	0	13
9116.198721	0	14
9117.211992	0	12
9118.229153	0	11
9123.249901	0	13
9126.275782	0	14
9127.293842	0	10
9128.314886	0	9
9133.330636	0	13
9136.357971	0	14
9137.376867	0	12
9138.381630	0	11
9143.413158	0	13
9146.439259	0	14
9147.456795	0	12
9148.463212	0	11
9153.486945	0	13
9156.508849	0	14
9157.513322	0	12
9158.535636	0	11
9163.545166	0	13
